Dose,Bin,Time,Mean,Date,NumCells,Cell,Ligand,Bivalent
0.345679,3,4.0,7437.493,11/8/2019,5675,Thelper,WT N-term,0
0.115226,1,4.0,432.2527,11/8/2019,2019,Thelper,WT N-term,0
0.115226,2,4.0,939.5139,11/8/2019,2941,Thelper,WT N-term,0
0.115226,3,4.0,4360.8394,11/8/2019,5636,Thelper,WT N-term,0
0.038409,1,4.0,471.81177,11/8/2019,2155,Thelper,WT N-term,0
0.038409,2,4.0,713.55054,11/8/2019,2759,Thelper,WT N-term,0
0.038409,3,4.0,1990.9873,11/8/2019,5164,Thelper,WT N-term,0
0.012803,1,4.0,290.03418,11/8/2019,2583,Thelper,WT N-term,0
0.012803,2,4.0,421.34497,11/8/2019,4009,Thelper,WT N-term,0
0.012803,3,4.0,482.14404,11/8/2019,6875,Thelper,WT N-term,0
0.004268,1,4.0,216.2124,11/8/2019,2438,Thelper,WT N-term,0
0.004268,2,4.0,262.47778,11/8/2019,3884,Thelper,WT N-term,0
0.004268,3,4.0,0.0,11/8/2019,6782,Thelper,WT N-term,0
0.001423,1,4.0,35.585205,11/8/2019,784,Thelper,WT N-term,0
0.001423,2,4.0,71.99121,11/8/2019,1300,Thelper,WT N-term,0
0.001423,3,4.0,0.0,11/8/2019,2544,Thelper,WT N-term,0
0.000474,1,4.0,0.0,11/8/2019,821,Thelper,WT N-term,0
0.000474,2,4.0,93.24805,11/8/2019,1294,Thelper,WT N-term,0
0.000474,3,4.0,0.0,11/8/2019,2526,Thelper,WT N-term,0
84.0,1,2.0,8101.7812,11/8/2019,1884,Thelper,WT N-term,0
84.0,2,2.0,6688.462,11/8/2019,3149,Thelper,WT N-term,0
84.0,3,2.0,10462.962,11/8/2019,4453,Thelper,WT N-term,0
28.0,1,2.0,6099.8916,11/8/2019,2012,Thelper,WT N-term,0
28.0,2,2.0,5069.8535,11/8/2019,3087,Thelper,WT N-term,0
28.0,3,2.0,9426.859,11/8/2019,4511,Thelper,WT N-term,0
9.333333,1,2.0,956.34546,11/8/2019,1761,Thelper,WT N-term,0
9.333333,2,2.0,1481.8687,11/8/2019,2737,Thelper,WT N-term,0
9.333333,3,2.0,6609.292,11/8/2019,4816,Thelper,WT N-term,0
3.111,1,2.0,929.41797,11/8/2019,1956,Thelper,WT N-term,0
3.111,2,2.0,1405.4756,11/8/2019,2822,Thelper,WT N-term,0
3.111,3,2.0,6380.6885,11/8/2019,5017,Thelper,WT N-term,0
1.037037,1,2.0,415.41943,11/8/2019,1811,Thelper,WT N-term,0
1.037037,2,2.0,656.6116,11/8/2019,2964,Thelper,WT N-term,0
1.037037,3,2.0,3225.7876,11/8/2019,5647,Thelper,WT N-term,0
0.345679,1,2.0,328.94922,11/8/2019,2037,Thelper,WT N-term,0
0.345679,2,2.0,448.4834,11/8/2019,3002,Thelper,WT N-term,0
0.345679,3,2.0,944.6062,11/8/2019,5392,Thelper,WT N-term,0
0.115226,1,2.0,79.036865,11/8/2019,1904,Thelper,WT N-term,0
0.115226,2,2.0,115.25,11/8/2019,3194,Thelper,WT N-term,0
0.115226,3,2.0,0.0,11/8/2019,5785,Thelper,WT N-term,0
0.038409,1,2.0,280.29907,11/8/2019,1670,Thelper,WT N-term,0
0.038409,2,2.0,306.4619,11/8/2019,2881,Thelper,WT N-term,0
0.038409,3,2.0,0.0,11/8/2019,4486,Thelper,WT N-term,0
0.012803,1,2.0,198.81567,11/8/2019,1887,Thelper,WT N-term,0
0.012803,2,2.0,191.92554,11/8/2019,3049,Thelper,WT N-term,0
0.012803,3,2.0,0.0,11/8/2019,5135,Thelper,WT N-term,0
0.004268,1,2.0,244.97998,11/8/2019,2146,Thelper,WT N-term,0
0.004268,2,2.0,257.16235,11/8/2019,3319,Thelper,WT N-term,0
0.004268,3,2.0,0.0,11/8/2019,5617,Thelper,WT N-term,0
0.001423,1,2.0,164.7544,11/8/2019,2019,Thelper,WT N-term,0
0.001423,2,2.0,204.70801,11/8/2019,3759,Thelper,WT N-term,0
0.001423,3,2.0,0.0,11/8/2019,5499,Thelper,WT N-term,0
0.000474,1,2.0,166.24048,11/8/2019,1853,Thelper,WT N-term,0
0.000474,2,2.0,166.70776,11/8/2019,3226,Thelper,WT N-term,0
0.000474,3,2.0,0.0,11/8/2019,5223,Thelper,WT N-term,0
84.0,1,1.0,10391.996,11/8/2019,1422,Thelper,WT N-term,0
84.0,2,1.0,9211.118,11/8/2019,2363,Thelper,WT N-term,0
84.0,3,1.0,13144.432,11/8/2019,4084,Thelper,WT N-term,0
28.0,1,1.0,7702.625,11/8/2019,1554,Thelper,WT N-term,0
